"trtid10","county","pop00","pop6a","hu00","hu6a"
6001438204,"Alameda County",5096,5261,1767.29187011719,1898
6001438300,"Alameda County",3759,4102,930,895
6001438400,"Alameda County",2254,2509,737,719
6001440100,"Alameda County",2283,2363,727,1139
6001440200,"Alameda County",6346,6265,1428,1509
6001440301,"Alameda County",7001,6987,2136,2170
6001440304,"Alameda County",5022,4964,1321,1312
6001440305,"Alameda County",4321,4147,1036,1032
6001440306,"Alameda County",4195,4131,1023,1055
6001440307,"Alameda County",4333,4277,1592,1634
6001440308,"Alameda County",6001,5988,1893,2057
6001440331,"Alameda County",3346,3517,893,938
6001440333,"Alameda County",3045,2992,778.458068847656,839
6001440334,"Alameda County",4387,4360,1121.5419921875,1087
6001440335,"Alameda County",2171,6949,709.005432128906,2366
6001440336,"Alameda County",4838,5350,1579.99462890625,1483
6001441100,"Alameda County",4167,4179,1484,1636
6001441200,"Alameda County",6442,7316,2533,2656
6001441301,"Alameda County",2721,3224,1146,1212
6001441302,"Alameda County",5622,5789,1857,1863
6001441401,"Alameda County",7125.72265625,7484,2346.46362304688,2382
6001441402,"Alameda County",5221.27734375,5295,1686.53637695312,1750
6001441501,"Alameda County",5273,6445,1401,1781
6001441503,"Alameda County",3198.00024414062,6566,1126.10656738281,2066
6001441521,"Alameda County",6100,6177,1801,1865
6001441522,"Alameda County",4996,5356,1424,1502
6001441523,"Alameda County",3798.00024414062,4267,1337.38354492188,1447
6001441524,"Alameda County",3787,4349,1333.51013183594,1390
6001441601,"Alameda County",4484,4848,1450,1455
6001441602,"Alameda County",6908,7907,2222,2363
6001441700,"Alameda County",6493,7270,2405,2851
6001441800,"Alameda County",6641.091796875,7305,2343.32666015625,2446
6001441921,"Alameda County",2982,3917,921,1325
6001441923,"Alameda County",5247,6313,2198,2442
6001441924,"Alameda County",6731.908203125,7782,2912.41625976562,2725
6001441925,"Alameda County",4755,6694,2057.2568359375,2970
6001441926,"Alameda County",3976.00024414062,4613,1556.55102539062,1493
6001441927,"Alameda County",3894,4528,1524.44909667969,1899
6001442000,"Alameda County",3357,3328,994,1051
6001442100,"Alameda County",5079,5242,1598,1721
6001442200,"Alameda County",6482,7241,2131,2201
6001442301,"Alameda County",4064.99975585938,4878,1516.67700195312,1564
6001442302,"Alameda County",3922,5772,1463.32287597656,2230
6001442400,"Alameda County",5953,6475,1857,2010
6001442500,"Alameda County",7186,7541,2236,2268
6001442601,"Alameda County",3537,4012,1224.34619140625,1309
6001442602,"Alameda County",5095,5051,1763.65380859375,1771
6001442700,"Alameda County",2877,3227,1071,1069
6001442800,"Alameda County",2962,3051,944,967
6001442900,"Alameda County",7149,8069,2394,2406
6001443001,"Alameda County",2987,2906,815,833
6001443002,"Alameda County",6069,6589,1871,1980
6001443102,"Alameda County",4862,4786,1433,1538
6001443103,"Alameda County",3860.43481445312,4034,1049.1337890625,1279
6001443104,"Alameda County",4927,5481,1566.45739746094,1817
6001443105,"Alameda County",4402,4553,1399.54248046875,1496
6001443200,"Alameda County",3546.57006835938,3802,1090.86791992188,1205
6001443301,"Alameda County",3927.095703125,4173,1188.12133789062,1215
6001443321,"Alameda County",2976,3340,1104.28588867188,1258
6001443322,"Alameda County",2899,3204,1075.71398925781,949
6001444100,"Alameda County",7497,7555,2524,2547
6001444200,"Alameda County",6500,6740,1933,2029
6001444301,"Alameda County",3905,4177,1126.55310058594,1208
6001444302,"Alameda County",4227,4538,1219.44689941406,1311
6001444400,"Alameda County",5193,5057,1491,1549
6001444500,"Alameda County",6365,6850,1881,2102
6001444601,"Alameda County",4769,5397,1615.18383789062,1526
6001444602,"Alameda County",4015,4363,1359.81616210938,1660
6001450200,"Alameda County",4726,5903,2303,2501
6001450300,"Alameda County",4562,5081,1565,1749
6001450400,"Alameda County",5783,6164,1964,2132
6001450501,"Alameda County",3111.10229492188,3426,1178.18957519531,1307
6001450502,"Alameda County",4007.8974609375,5460,1517.81030273438,1828
6001450601,"Alameda County",3158.32299804688,3665,1221.09020996094,1420
6001450602,"Alameda County",7890,9773,3020,3523
6001450603,"Alameda County",4662,5054,1532,1656
6001450604,"Alameda County",4817,5397,1703,1870
6001450605,"Alameda County",3677,4004,1407,1490
6001450606,"Alameda County",6111,6092,1975,2107
6001450607,"Alameda County",3357,5239,1703,2449
6001450701,"Alameda County",6257.671875,8740,2052.908203125,2926
6001450741,"Alameda County",4596,5180,1763,1983
6001450742,"Alameda County",4427,4811,1778,1999
6001450743,"Alameda County",4382.4619140625,6112,1791.80004882812,2184
6001450744,"Alameda County",4943.5380859375,5356,2021.19995117188,1770
6001450745,"Alameda County",4604,6238,1737.92578125,2236
6001450746,"Alameda County",3052,3499,1152.07421875,1336
6001451101,"Alameda County",4613,7413,1691,2582
6001451201,"Alameda County",6542.1640625,7134,2532.29467773438,2712
6001451202,"Alameda County",3479.8359375,4296,1125.70520019531,1635
6001451300,"Alameda County",6743,7089,2376,2431
6001451401,"Alameda County",5601,6149,2141,2397
6001451403,"Alameda County",2278,2343,746.054077148438,805
6001451404,"Alameda County",6528,6318,2137.94604492188,2269
6001451501,"Alameda County",3126,4759,1317,1815
6001451503,"Alameda County",5731,5912,2103,2266
6001451504,"Alameda County",1521,1723,530.422424316406,637
6001451505,"Alameda County",3686.5107421875,3289,1285.60668945312,1196
6001451506,"Alameda County",2801.4892578125,3507,976.970825195312,1158
6001451601,"Alameda County",3614,5157,1437,1999
6001451602,"Alameda County",5938,7119,2399,2985
6001451701,"Alameda County",3075,3013,1065,1080
6001451703,"Alameda County",3273,4568,1158.17700195312,1371
6001451704,"Alameda County",4555,4647,1611.82287597656,1711
6013301000,"Contra Costa County",3355,4844,1897,2313
6013302005,"Contra Costa County",6021,6695,1879.68664550781,2451
6013302006,"Contra Costa County",4210,4101,1314.31335449219,1249
6013302007,"Contra Costa County",5213,6840,1623.25744628906,2101
6013302008,"Contra Costa County",3262,8352,1015.74255371094,2236
6013302009,"Contra Costa County",4018,7137,1198.10522460938,2046
6013302010,"Contra Costa County",6904.03173828125,11161,2059.57202148438,3328
6013303102,"Contra Costa County",2547,8901,779.618896484375,2605
6013303103,"Contra Costa County",5774,11879,1767.38098144531,3755
6013303201,"Contra Costa County",4651.8818359375,11455,1592.6796875,3224
6013303202,"Contra Costa County",4873,7137,1668.38464355469,2381
6013303203,"Contra Costa County",2926.1181640625,9445,1001.82446289062,2998
6013303204,"Contra Costa County",4219,4668,1444.47253417969,1614
6013303205,"Contra Costa County",4938,8431,1690.63879394531,3460
6013304002,"Contra Costa County",1383,1465,575.466247558594,505
6013304003,"Contra Costa County",3725,3892,1549.97241210938,1715
